Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
KCNE4	3.0e-05	1.8	25.9	-3.82
PITX1	q<=2.2e-19	14.0	1.0	3.81
PCLAF	q<=2.2e-19	14.0	1.0	3.81
CDCA5	q<=2.2e-19	33.8	2.4	3.80
VSTM4	3.8e-08	1.9	27.1	-3.80
PDZD4	4.7e-08	1.0	14.0	-3.80
SORBS1	6.3e-06	4.3	60.1	-3.80
LEPR	1.9e-07	3.3	45.0	-3.79
ANKRD29	5.6e-11	1.5	20.9	-3.79
RASL12	4.1e-09	5.3	73.3	-3.78
MYOCD	1.7e-06	1.0	13.7	-3.77
PIANP	6.5e-06	1.8	24.7	-3.77
IQGAP3	q<=2.2e-19	13.5	1.0	3.76
COLEC12	5.4e-05	1.5	20.7	-3.76
ZEB1	7.6e-09	3.7	49.4	-3.75
KIF4A	q<=2.2e-19	13.5	1.0	3.75
ZWINT	q<=2.2e-19	69.7	5.2	3.74
RBM24	1.4e-06	2.1	27.5	-3.73
GSPT2	1.7e-16	1.0	13.2	-3.73
CNRIP1	7.7e-12	5.2	68.2	-3.72
NMU	q<=2.2e-19	13.2	1.0	3.72
TMEM132C	1.0e-09	1.0	13.2	-3.72
SYTL4	5.5e-07	1.6	21.3	-3.71
UPK1B	q<=2.2e-19	13.0	1.0	3.70
TTK	q<=2.2e-19	13.0	1.0	3.70
CDT1	q<=2.2e-19	27.4	2.1	3.70
ABCC9	5.8e-07	1.0	12.9	-3.69
SNCA	1.8e-06	1.0	13.0	-3.69
CBX7	1.7e-11	6.0	77.0	-3.69
PIMREG	q<=2.2e-19	12.9	1.0	3.69
CORO2B	2.6e-05	1.4	17.8	-3.68
OSR1	1.2e-04	1.4	17.9	-3.68
VAX2	q<=2.2e-19	13.9	1.1	3.68
CDC6	q<=2.2e-19	12.8	1.0	3.68
ANTXR2	4.4e-09	7.1	90.4	-3.67
TCEAL5	2.6e-05	1.0	12.7	-3.67
CDCA3	q<=2.2e-19	39.5	3.1	3.67
LTBP4	2.5e-09	35.5	451.2	-3.67
OLFML2A	8.8e-08	5.1	64.7	-3.67
SMOC2	1.9e-09	20.5	258.6	-3.66
TSPAN18	1.5e-07	3.2	40.0	-3.66
GPIHBP1	2.1e-04	1.0	12.6	-3.66
SNAP25	5.8e-06	1.0	12.6	-3.66
B3GNT3	q<=2.2e-19	12.6	1.0	3.65
ORC6	q<=2.2e-19	23.2	1.8	3.65
LCN2	8.9e-08	348.1	27.7	3.65
JAM3	8.8e-11	5.6	69.2	-3.64
TGFB1I1	1.6e-08	23.7	296.5	-3.64
PSD	2.4e-06	5.6	70.2	-3.64
GPM6A	1.4e-05	1.0	12.4	-3.64
CXCL17	3.0e-19	36.6	2.9	3.63
ECRG4	2.8e-05	4.0	49.1	-3.63
CCNE1	q<=2.2e-19	31.2	2.5	3.62
MMP9	4.0e-08	18.5	1.5	3.62
SPC25	q<=2.2e-19	12.3	1.0	3.62
ACKR1	8.9e-05	14.8	181.7	-3.62
PYGM	1.0e-04	1.0	12.3	-3.62
TEDC2	q<=2.2e-19	21.9	1.8	3.62
RIPOR2	1.7e-08	2.0	24.1	-3.61
ENPEP	4.8e-06	1.6	19.0	-3.61
FRMD6	3.4e-07	5.7	70.2	-3.61
ZCCHC24	9.9e-10	4.5	55.4	-3.61
ANLN	q<=2.2e-19	13.2	1.1	3.60
S100P	2.1e-09	12.1	1.0	3.60
SOCS2	2.9e-07	6.6	80.6	-3.60
CAPN13	q<=2.2e-19	16.5	1.4	3.59
SKA3	q<=2.2e-19	12.0	1.0	3.59
AOC1	1.1e-07	12.0	1.0	3.58
ZNF521	4.1e-08	1.6	19.7	-3.58
DUSP1	1.6e-06	74.9	896.9	-3.58
PTPRN2	2.2e-09	1.2	14.3	-3.58
KLF2	3.2e-06	6.9	82.1	-3.58
NFASC	3.7e-07	1.3	15.2	-3.58
ATP1B2	1.6e-07	2.2	26.2	-3.58
BUB1B	q<=2.2e-19	11.8	1.0	3.57
HSPB6	1.6e-06	6.5	77.0	-3.57
SELP	6.6e-06	1.6	18.9	-3.57
PLAC9	8.1e-05	2.7	31.8	-3.56
EDNRA	2.6e-07	5.6	66.1	-3.55
FBXL22	1.8e-05	1.2	14.5	-3.55
TPSB2	3.8e-05	2.7	31.1	-3.55
UHRF1	q<=2.2e-19	11.6	1.0	3.54
BHMT2	6.1e-08	1.4	15.9	-3.54
PLPP7	4.1e-09	1.1	12.3	-3.53
IGFBP6	1.2e-04	18.4	210.7	-3.52
GJC1	6.1e-05	2.0	22.4	-3.52
FOXL2NB	1.5e-05	1.2	14.0	-3.51
SULT2B1	q<=2.2e-19	12.6	1.1	3.50
CACNA1C	6.9e-06	1.0	11.3	-3.50
PPP1R3C	5.6e-06	1.6	17.6	-3.50
NUDT10	4.8e-05	1.0	11.2	-3.49
CCL20	8.1e-13	13.3	1.2	3.48
TRPC1	1.0e-10	1.0	11.1	-3.48
MISP	1.0e-10	58.0	5.2	3.48
SPEG	1.5e-07	1.6	17.7	-3.47
GLYATL2	q<=2.2e-19	11.1	1.0	3.47
ATRNL1	1.1e-05	1.0	11.0	-3.46
UST	1.0e-13	1.2	13.6	-3.45
CAV1	2.3e-07	22.5	246.9	-3.45
MT1G	1.8e-05	43.8	4.0	3.45
DDR2	1.3e-09	2.3	25.3	-3.45
PKNOX2	2.2e-08	1.0	11.0	-3.45
MYCT1	8.7e-08	2.3	24.8	-3.45
SOX15	8.5e-10	1.6	17.3	-3.45
LETR1	3.3e-07	1.0	10.9	-3.44
KIF18B	q<=2.2e-19	10.9	1.0	3.44
SYNE1	9.7e-14	1.5	16.1	-3.44
NR2F2-AS1	1.1e-07	1.0	10.9	-3.44
FBXL7	7.9e-12	4.2	45.4	-3.44
LONRF2	7.2e-07	2.1	22.7	-3.43
KCTD12	3.0e-11	13.6	146.5	-3.43
AURKA	q<=2.2e-19	23.5	2.2	3.43
MYL9	2.4e-06	100.4	1083.6	-3.43
RUNX1T1	5.1e-07	1.0	10.7	-3.43
STON1	1.0e-08	1.9	20.2	-3.43
NPR1	1.6e-04	5.2	56.0	-3.43
KIF11	q<=2.2e-19	17.3	1.6	3.41
EMILIN1	4.2e-09	21.9	233.3	-3.41
SPAG5	q<=2.2e-19	23.2	2.2	3.41
ADAMTSL5	3.4e-06	1.0	10.5	-3.40
LDB2	6.1e-08	9.2	97.5	-3.40
TACC1	6.4e-10	9.9	103.2	-3.39
GUCY1A2	2.2e-05	1.0	10.5	-3.39
MND1	q<=2.2e-19	14.4	1.4	3.39
MMRN1	1.5e-05	2.0	20.7	-3.38
UBE2T	q<=2.2e-19	66.7	6.4	3.38
REM1	2.0e-08	1.3	13.4	-3.38
FOS	2.2e-04	123.5	1272.1	-3.37
ADGRA2	1.5e-10	5.1	52.8	-3.37
POSTN	2.7e-05	8.8	91.2	-3.37
ITGA8	7.1e-07	1.0	10.4	-3.37
CDK1	q<=2.2e-19	63.1	6.2	3.36
FAM110D	2.3e-06	1.3	12.9	-3.36
FILIP1L	1.0e-04	10.5	108.2	-3.36
HTR2B	1.3e-05	1.4	14.8	-3.36
PDE10A	3.2e-05	2.4	24.0	-3.35
DIPK2B	1.4e-07	5.0	50.9	-3.35
SDC1	q<=2.2e-19	121.5	12.0	3.34
GDF15	q<=2.2e-19	121.9	12.0	3.34
SLC2A4	1.1e-06	1.0	10.1	-3.34
FXYD6	6.7e-06	8.0	80.9	-3.34
MAF	9.5e-09	7.1	71.9	-3.33
GGT6	5.7e-06	22.6	2.2	3.33
PMP22	1.2e-10	25.3	252.1	-3.32
COL26A1	1.5e-18	10.6	1.1	3.32
TACC3	q<=2.2e-19	79.0	7.9	3.32
CYBRD1	4.6e-08	18.7	186.4	-3.32
CDKN3	q<=2.2e-19	30.7	3.1	3.31
POC1A	q<=2.2e-19	25.8	2.6	3.30
CASQ2	8.1e-04	1.0	9.9	-3.30
SFRP1	6.0e-06	12.2	120.8	-3.30
RASSF8	6.6e-11	3.7	36.6	-3.29
LIFR	2.8e-06	3.4	33.1	-3.29
KRT5	5.0e-10	20.7	2.1	3.29
CENPM	q<=2.2e-19	59.0	6.0	3.29
CCNB1	q<=2.2e-19	98.3	10.1	3.29
PTH1R	3.9e-05	2.2	21.2	-3.28
MESP1	q<=2.2e-19	10.5	1.1	3.28
MAGEH1	1.5e-18	9.2	88.6	-3.27
BMERB1	7.2e-12	7.6	73.6	-3.27
TPSAB1	3.4e-05	3.0	28.8	-3.27
OLFML3	6.7e-11	31.4	302.8	-3.27
PDE7B	8.1e-07	1.1	11.1	-3.27
OLFML1	1.8e-08	4.5	43.5	-3.27
PDGFRA	3.0e-05	5.5	52.1	-3.26
PI15	4.4e-05	1.0	9.6	-3.26
HSPA12B	1.5e-09	3.0	28.2	-3.25
SNCG	5.7e-04	7.5	71.9	-3.25
AOX1	1.0e-03	1.0	9.5	-3.25
RHOJ	3.9e-11	4.3	41.1	-3.25
ABCB1	1.8e-06	1.6	15.1	-3.24
IL33	3.0e-07	8.9	84.6	-3.24
CDKN2A	q<=2.2e-19	36.7	3.9	3.24
HOXD4	5.4e-08	1.5	14.0	-3.23
NECTIN4	q<=2.2e-19	28.1	3.0	3.23
ACTA2-AS1	1.7e-04	1.0	9.4	-3.23
CLIP3	4.4e-09	9.2	85.6	-3.22
VAV3	q<=2.2e-19	33.2	3.6	3.22
DMD	3.5e-08	1.9	17.4	-3.22
ESPL1	q<=2.2e-19	9.3	1.0	3.21
KRT7	5.2e-09	291.0	31.4	3.21
PCBP3	1.1e-06	1.0	9.3	-3.21
SOCS2-AS1	4.7e-05	4.2	38.5	-3.21
ALDH3B2	q<=2.2e-19	38.7	4.2	3.21
LINC01139	5.4e-06	1.9	17.5	-3.20
DEPDC1B	q<=2.2e-19	9.2	1.0	3.20
GEM	5.2e-05	9.6	88.1	-3.20
AKAP12	6.8e-06	5.7	52.9	-3.20
SLC7A5	q<=2.2e-19	56.0	6.1	3.20
ADAMTSL1	8.1e-06	2.2	19.9	-3.20
CDH13	5.7e-05	1.0	9.1	-3.19
CCBE1	8.1e-06	1.0	9.2	-3.19
CCNA2	q<=2.2e-19	19.6	2.2	3.19
NUDT11	4.5e-07	1.0	9.1	-3.19
CDC25C	q<=2.2e-19	9.1	1.0	3.19
CCND2	2.6e-09	8.0	72.1	-3.18
ITPR1	2.4e-07	2.3	21.2	-3.18
FREM1	2.8e-07	2.3	21.3	-3.18
COL14A1	3.2e-05	5.9	53.3	-3.18
SSPN	5.2e-12	3.7	33.7	-3.17
C3orf70	5.0e-05	1.0	9.0	-3.17
SMIM22	q<=2.2e-19	87.4	9.7	3.17
CENPU	q<=2.2e-19	18.7	2.1	3.17
MT3	1.5e-11	9.0	1.0	3.17
SKA1	q<=2.2e-19	8.9	1.0	3.16
LOC728392	2.9e-11	3.7	33.2	-3.16
NPY1R	2.0e-04	1.0	8.9	-3.16
RHOV	q<=2.2e-19	18.0	2.0	3.16
PIGR	q<=2.2e-19	228.8	25.5	3.16
KANK2	3.7e-10	36.3	323.2	-3.15
SYNDIG1	6.0e-05	1.0	9.3	-3.15
RBP7	1.6e-04	4.5	39.6	-3.15
PRDM8	9.7e-10	1.0	8.9	-3.15
GASK1B	9.6e-07	11.1	99.1	-3.15
PRKG1	8.0e-06	1.0	8.9	-3.15
TNS1	8.4e-06	14.7	130.0	-3.14
LIMS2	3.0e-06	23.9	210.5	-3.14
CAVIN1	1.6e-08	64.0	565.7	-3.14
GLI3	6.7e-07	1.4	12.6	-3.14
IGFBP5	2.8e-05	79.5	701.2	-3.14
MIR100HG	3.5e-09	8.4	73.3	-3.13
LRRC4B	1.2e-05	2.0	17.5	-3.13
AUNIP	q<=2.2e-19	8.7	1.0	3.13
RAD51	q<=2.2e-19	10.3	1.2	3.13
FBXO17	1.0e-10	3.6	31.2	-3.13
ITGA11	4.5e-04	1.9	16.6	-3.13
GLT8D2	1.8e-10	3.8	33.4	-3.13
LYPLAL1	2.0e-07	2.2	19.1	-3.13
HOXD10	7.2e-06	7.5	65.3	-3.13
PRSS8	q<=2.2e-19	248.3	28.4	3.13
SBK1	q<=2.2e-19	33.9	3.9	3.12
E2F1	q<=2.2e-19	22.5	2.6	3.12
DIXDC1	1.1e-10	4.5	39.4	-3.12
GYPC	9.6e-16	14.1	123.0	-3.12
SNORD3A	5.5e-09	67.2	7.7	3.12
HGD	q<=2.2e-19	55.7	6.4	3.12
SPDEF	3.1e-12	127.0	14.6	3.12
TFF3	2.5e-13	220.9	25.7	3.10
SERPINF1	2.8e-09	82.0	701.9	-3.10
CALD1	8.4e-08	53.3	456.7	-3.10
TIMP2	5.7e-09	79.6	682.9	-3.10
TMEM200A	3.9e-08	4.7	40.0	-3.09
ANK2	2.1e-08	2.3	19.9	-3.09
ARMCX1	2.3e-11	7.5	64.2	-3.09
COX7A1	1.3e-09	21.2	180.3	-3.09
NCAPH	q<=2.2e-19	8.5	1.0	3.09
GPRASP2	4.4e-13	3.2	26.7	-3.08
SLC25A10	q<=2.2e-19	39.2	4.6	3.08
RECK	1.8e-08	3.2	27.2	-3.08
HOXA11	2.1e-05	10.2	85.7	-3.08
HOXD11	4.4e-04	1.0	8.5	-3.08
GAS6	5.4e-11	41.7	351.8	-3.08
PROS1	8.4e-10	4.6	38.6	-3.08
ARHGAP11A	q<=2.2e-19	8.5	1.0	3.08
MAB21L4	q<=2.2e-19	8.4	1.0	3.07
PCDHB4	2.7e-09	1.1	8.9	-3.06
CCDC80	1.4e-05	7.7	64.4	-3.06
GNAO1	2.4e-07	1.0	8.3	-3.06
PIF1	q<=2.2e-19	8.3	1.0	3.06
HOXD3	5.0e-09	1.5	12.6	-3.06
SSC5D	3.4e-06	4.6	37.9	-3.05
SPP1	9.6e-13	227.4	27.4	3.05
AQP1	8.9e-06	29.8	246.2	-3.05
KANK3	3.8e-08	1.7	14.5	-3.05
EDNRB	9.7e-06	1.5	12.7	-3.05
ZNF626	2.3e-07	1.1	9.1	-3.05
MTFR2	q<=2.2e-19	8.3	1.0	3.04
SNCAIP	2.6e-07	4.8	39.6	-3.04
IGSF9	q<=2.2e-19	31.9	3.9	3.04
KCND3	2.2e-06	1.0	8.2	-3.04
EBF1	1.1e-08	2.1	17.0	-3.04
IL4I1	2.6e-05	40.5	4.9	3.04
KCNJ8	1.4e-08	2.8	22.8	-3.03
FAXDC2	8.1e-11	8.7	71.7	-3.03
NAP1L2	2.1e-08	1.0	8.2	-3.03
S100A9	4.4e-11	93.0	11.4	3.03
PLEKHH2	1.5e-08	1.7	13.7	-3.03
ENPP1	7.6e-07	2.2	17.8	-3.02
PTGFR	1.1e-04	1.0	8.1	-3.02
LGI2	5.2e-05	1.0	8.1	-3.02
SLC7A2	8.7e-04	2.4	19.3	-3.02
INMT	2.4e-04	1.9	15.1	-3.02
DPYD	1.1e-11	2.8	22.3	-3.02
EHD2	8.3e-09	23.0	187.2	-3.02
RAB9B	5.3e-07	1.5	12.2	-3.02
TMEM132A	q<=2.2e-19	136.8	17.0	3.01
SHE	3.4e-07	1.0	8.0	-3.01
CYYR1	5.2e-08	4.9	39.3	-3.01
TACR1	9.1e-05	1.0	8.0	-3.01
RIPOR3	1.4e-07	1.5	12.2	-3.01
PCDHB15	9.3e-10	1.0	8.0	-3.00
MEF2C	1.0e-09	3.0	23.6	-3.00
SLC4A11	3.2e-14	11.7	1.5	3.00
RDH10	q<=2.2e-19	63.4	7.9	3.00
TEK	9.2e-07	2.9	22.8	-2.99
TACSTD2	q<=2.2e-19	410.5	51.9	2.98
DENND2A	6.4e-12	5.7	45.3	-2.98
SLC51B	3.8e-06	1.0	7.9	-2.98
GRIK5	7.5e-04	1.5	11.5	-2.98
C14orf132	5.4e-11	5.6	44.2	-2.98
FAM13C	2.2e-10	1.0	8.0	-2.98
GIMAP8	2.2e-06	2.5	19.4	-2.97
MAP3K20	1.8e-12	22.0	170.8	-2.96
ABLIM3	2.4e-05	1.0	7.8	-2.96
VGLL3	2.1e-05	1.0	7.8	-2.96
KIF26A	3.1e-07	1.0	7.8	-2.96
HMMR	q<=2.2e-19	7.8	1.0	2.96
TNFRSF18	6.7e-15	14.2	1.8	2.96
REEP1	3.9e-07	2.1	16.6	-2.96
MIR99AHG	3.5e-12	2.1	16.5	-2.95
LYNX1	1.3e-06	2.4	18.5	-2.95
IDO1	4.1e-09	38.2	5.0	2.95
FLRT2	7.0e-08	1.0	7.8	-2.95
RNF183	q<=2.2e-19	18.7	2.4	2.95
TWIST2	1.4e-04	6.3	48.3	-2.95
HOXD8	9.5e-13	2.6	20.2	-2.94
ADAMTSL4	2.7e-09	2.0	15.4	-2.94
SCN4B	6.5e-06	1.0	7.7	-2.94
PHLDB2	6.7e-06	2.9	22.0	-2.94
ARHGEF25	1.8e-07	1.6	12.1	-2.94
CDON	1.4e-05	1.2	8.9	-2.94
TBX3	8.1e-08	5.5	42.1	-2.94
NCAPG	q<=2.2e-19	7.7	1.0	2.94
TPM2	3.6e-05	256.2	1961.1	-2.94
CDC25A	q<=2.2e-19	7.7	1.0	2.94
DPYSL3	8.0e-07	23.3	179.0	-2.94
APBB1	9.8e-14	15.6	119.6	-2.94
HIC1	7.8e-09	3.8	29.3	-2.94
ZNF486	3.7e-04	1.0	7.7	-2.94
